ID,Name,Birthday,ID Card,Phone Number,Email,Education Level,Position,Salary,
001,Lana,Sep 04,123456789,0935 666 666,lana@gmail.com,Uni,Sales,1000.0
002,Gaga,Jan 23,123456789,0935 666 666,gaga@gmail.com,Uni,Sales,1000.0
003,Rose,Sep 04,123456789,0935 666 666,rose@gmail.com,Uni,Sales,1000.0
004,Taylor,Sep 04,123456789,0935 666 666,taylor@gmail.com,Uni,Sales,1000.0
005,Miley,Sep 04,123456789,0935 666 666,miley@gmail.com,Uni,Sales,1000.0
006,Avril,Sep 04,123456789,0935 666 666,hothaodn@gmail.com,Uni,Sales,1000.0
007,Adele,Sep 04,123456789,0935 666 666,hothaodn@gmail.com,Uni,Sales,1000.0
008,Katy,Sep 04,123456789,0935 666 666,hothaodn@gmail.com,Uni,Sales,1000.0
009,Kesha,Sep 04,123456789,0935 666 666,hothaodn@gmail.com,Uni,Sales,1000.0
010,Rosie,Sep 04,123456789,0935 666 666,hothaodn@gmail.com,Uni,Sales,1000.0
